# City graph vertices:  <name> <latitude> <longitude>
# A sample network of US cities with real coordinates.
Seattle        47.6062  -122.3321
Portland       45.5152  -122.6784
SanFrancisco   37.7749  -122.4194
LosAngeles     34.0522  -118.2437
LasVegas       36.1699  -115.1398
Phoenix        33.4484  -112.0740
SaltLakeCity   40.7608  -111.8910
Denver         39.7392  -104.9903
Albuquerque    35.0844  -106.6504
Dallas         32.7767   -96.7970
Houston        29.7604   -95.3698
KansasCity     39.0997   -94.5786
Minneapolis    44.9778   -93.2650
Chicago        41.8781   -87.6298
StLouis        38.6270   -90.1994
Memphis        35.1495   -90.0490
Atlanta        33.7490   -84.3880
Miami          25.7617   -80.1918
Nashville      36.1627   -86.7816
Detroit        42.3314   -83.0458
Cleveland      41.4993   -81.6944
Pittsburgh     40.4406   -79.9959
Washington     38.9072   -77.0369
Philadelphia   39.9526   -75.1652
NewYork        40.7128   -74.0060
Boston         42.3601   -71.0589
